birth_year,generation,country,education_level,occupation,employment_status,monthly_income_eur,age_first_job,months_to_first_job,housing_status,job_satisfaction,life_satisfaction,economic_anxiety
1993,Millennial,Czechia,High,IT,Employed,2946.0,19,26,Rent,8,3,8
1995,Millennial,Netherlands,Medium,IT,Employed,2147.0,28,2,Own,10,10,8
1962,Baby Boomer,Czechia,Low,IT,Employed,2470.0,28,35,With parents,1,4,6
1979,Gen X,Poland,High,Retail,Employed,680.0,25,5,Rent,1,1,3
1997,Gen Z,Netherlands,Medium,Finance,Inactive,627.0,24,26,With parents,7,8,4
2003,Gen Z,France,Low,Healthcare,Employed,1350.0,22,21,Rent,9,8,4
1970,Gen X,France,Medium,Healthcare,Employed,3676.0,27,21,Own,7,7,6
1960,Baby Boomer,Czechia,High,IT,Employed,4008.0,16,35,Rent,4,3,4
1950,Baby Boomer,Spain,Medium,Healthcare,Unemployed,3085.0,23,31,With parents,9,2,5
2001,Gen Z,Germany,Medium,Finance,Inactive,1845.0,19,26,Rent,6,4,6
1988,Millennial,Italy,Medium,Manufacturing,Unemployed,2584.0,29,6,Own,10,2,3
1987,Millennial,Netherlands,Low,Manufacturing,Unemployed,3336.0,29,11,Own,1,1,3
1991,Millennial,France,Medium,Construction,Employed,3869.0,29,15,Own,6,9,7
1991,Millennial,Poland,High,Healthcare,Inactive,1165.0,27,4,With parents,10,5,1
1992,Millennial,Netherlands,Medium,IT,Employed,2384.0,22,34,Rent,6,3,4
1986,Millennial,Spain,Low,Education,Inactive,1910.0,28,8,Rent,1,3,3
1956,Baby Boomer,Spain,Low,Finance,Employed,2727.0,21,28,With parents,8,9,5
2004,Gen Z,France,Medium,IT,Employed,2247.0,22,26,Own,5,1,2
1957,Baby Boomer,France,High,Retail,Employed,1300.0,25,31,With parents,4,1,10
1948,Baby Boomer,Czechia,Medium,Unemployed,Employed,2555.0,25,9,Rent,10,3,9
1983,Millennial,France,Medium,Education,Employed,1573.0,16,24,Rent,1,5,5
1998,Gen Z,Czechia,Low,Finance,Employed,2168.0,27,24,Rent,5,1,10
1946,Baby Boomer,Sweden,Medium,Retail,Employed,2211.0,21,3,Rent,1,5,4
1970,Gen X,Italy,Low,Healthcare,Inactive,3718.0,27,22,Rent,3,5,4
2003,Gen Z,France,High,Retail,Inactive,2489.0,18,9,Own,10,6,7
1971,Gen X,Netherlands,Medium,Healthcare,Inactive,2120.0,25,5,With parents,1,8,4
1971,Gen X,Netherlands,High,Retail,Unemployed,2852.0,19,12,Own,10,1,10
1959,Baby Boomer,Czechia,High,Education,Employed,1404.0,16,30,Rent,3,9,8
1952,Baby Boomer,Sweden,High,Retail,Employed,2291.0,29,4,Own,2,9,1
1951,Baby Boomer,Sweden,Medium,IT,Employed,2771.0,28,3,With parents,4,1,10
1991,Millennial,Germany,Low,Healthcare,Inactive,2730.0,29,2,Rent,7,6,6
1999,Gen Z,Poland,High,Manufacturing,Inactive,1723.0,28,29,Own,1,10,9
1990,Millennial,France,High,Retail,Unemployed,2528.0,25,22,With parents,7,6,5
1984,Millennial,Czechia,High,Healthcare,Inactive,2812.0,23,17,Own,6,8,5
2004,Gen Z,Netherlands,Low,Manufacturing,Employed,1385.0,29,34,Own,4,8,4
1956,Baby Boomer,Sweden,Medium,Healthcare,Employed,1656.0,17,4,With parents,9,2,9
1957,Baby Boomer,Netherlands,High,Unemployed,Inactive,1910.0,18,27,Rent,7,9,2
1987,Millennial,Netherlands,Low,Construction,Employed,4297.0,22,17,Own,10,10,9
1961,Baby Boomer,Sweden,Medium,Healthcare,Employed,1527.0,17,7,Rent,10,1,6
1961,Baby Boomer,Italy,Medium,Unemployed,Employed,2493.0,27,11,With parents,5,5,10
2000,Gen Z,Sweden,Low,Manufacturing,Employed,1882.0,19,29,Rent,2,10,8
1980,Gen X,Sweden,Low,Manufacturing,Unemployed,1356.0,27,21,Own,1,2,4
1965,Gen X,Poland,Medium,Education,Employed,2828.0,22,5,Own,2,10,4
1952,Baby Boomer,Czechia,Low,Finance,Employed,930.0,27,29,With parents,9,1,10
1949,Baby Boomer,Czechia,Medium,Construction,Employed,3499.0,18,7,Own,2,7,1
1970,Gen X,Sweden,Low,Retail,Employed,1265.0,17,28,Own,5,9,6
1960,Baby Boomer,Spain,Medium,Retail,Inactive,1601.0,23,30,With parents,8,2,2
1980,Gen X,Czechia,High,Construction,Employed,2715.0,17,4,Rent,8,8,5
1972,Gen X,Czechia,Medium,Healthcare,Employed,2877.0,25,10,Rent,9,5,3
1998,Gen Z,Czechia,Medium,Construction,Employed,2410.0,22,16,Rent,4,6,2
1973,Gen X,Sweden,High,IT,Inactive,1720.0,26,12,Rent,10,10,10
1991,Millennial,Netherlands,High,Unemployed,Employed,766.0,18,19,Own,7,7,1
1956,Baby Boomer,France,Low,IT,Inactive,2119.0,19,30,Rent,9,4,9
1981,Millennial,Netherlands,Medium,Finance,Employed,1435.0,21,25,With parents,7,3,1
1974,Gen X,Poland,Medium,Healthcare,Employed,4371.0,26,27,With parents,1,2,8
1967,Gen X,Spain,Medium,Education,Unemployed,2320.0,18,24,Rent,6,1,6
1960,Baby Boomer,Sweden,High,Manufacturing,Employed,1040.0,16,17,Own,2,4,4
1958,Baby Boomer,Italy,High,Healthcare,Employed,1901.0,27,31,With parents,7,6,9
1954,Baby Boomer,Germany,High,Unemployed,Employed,2882.0,23,28,With parents,9,3,1
1951,Baby Boomer,Sweden,Medium,Retail,Employed,3246.0,19,2,Own,7,3,4
1989,Millennial,France,Low,IT,Employed,1922.0,16,34,With parents,8,10,10
1996,Millennial,Germany,High,Unemployed,Employed,2093.0,17,14,Rent,2,8,7
2004,Gen Z,Italy,Medium,IT,Employed,2708.0,21,2,Rent,10,5,4
1981,Millennial,Poland,Low,IT,Employed,1358.0,16,20,Rent,5,2,1
1973,Gen X,Poland,High,Education,Unemployed,2513.0,24,2,Own,10,10,4
1947,Baby Boomer,Italy,Medium,Retail,Employed,2457.0,29,34,With parents,1,9,6
1959,Baby Boomer,Netherlands,Medium,Education,Employed,2680.0,22,7,With parents,3,1,8
1980,Gen X,Italy,High,Manufacturing,Employed,2165.0,23,2,Own,1,6,2
1991,Millennial,Czechia,Low,Healthcare,Employed,792.0,23,10,Rent,2,5,9
1990,Millennial,Czechia,Low,Healthcare,Employed,2405.0,21,1,Rent,4,3,7
1996,Millennial,Sweden,Medium,Construction,Inactive,1412.0,23,32,Own,6,1,6
1963,Baby Boomer,France,Medium,IT,Unemployed,3753.0,22,7,With parents,1,1,3
1957,Baby Boomer,Czechia,Low,Construction,Employed,3779.0,16,11,Rent,9,5,4
1986,Millennial,Spain,Medium,IT,Employed,1170.0,18,18,Rent,1,7,8
1965,Gen X,Sweden,Medium,Manufacturing,Employed,1430.0,24,17,With parents,8,8,7
1981,Millennial,Sweden,High,Unemployed,Inactive,123.0,23,20,Rent,1,3,6
1971,Gen X,Sweden,Low,Education,Employed,2862.0,20,21,With parents,1,7,7
1999,Gen Z,Germany,High,Finance,Employed,1684.0,16,29,With parents,8,8,9
1996,Millennial,Germany,Low,Finance,Employed,2444.0,17,17,Rent,2,3,5
1973,Gen X,Poland,Medium,Finance,Employed,1715.0,25,5,Rent,1,10,5
1964,Baby Boomer,Sweden,Medium,Retail,Employed,758.0,29,0,With parents,7,8,10
1969,Gen X,Netherlands,Low,Manufacturing,Unemployed,2390.0,25,8,Own,1,5,7
1950,Baby Boomer,Czechia,High,Healthcare,Employed,3360.0,24,15,Own,4,5,7
1980,Gen X,Poland,Low,Healthcare,Employed,2175.0,27,28,Rent,10,8,5
1946,Baby Boomer,France,Low,Education,Employed,1276.0,25,28,With parents,10,6,8
1966,Gen X,Italy,Medium,Construction,Employed,2067.0,23,4,With parents,9,6,6
1976,Gen X,Germany,Medium,Manufacturing,Employed,2662.0,24,18,With parents,10,6,4
1960,Baby Boomer,Sweden,Low,Retail,Unemployed,2018.0,17,21,Own,3,10,9
1962,Baby Boomer,France,Low,Manufacturing,Employed,1211.0,18,7,Rent,6,1,2
1949,Baby Boomer,Poland,Low,Manufacturing,Employed,4018.0,18,17,Rent,10,1,2
1998,Gen Z,Poland,Medium,Education,Unemployed,839.0,16,13,Own,9,3,5
1980,Gen X,Germany,Medium,Unemployed,Employed,4247.0,17,3,With parents,4,2,3
1974,Gen X,Poland,Low,Retail,Employed,2116.0,25,26,Own,3,9,3
1989,Millennial,Netherlands,Low,Finance,Employed,3007.0,20,23,Own,5,2,7
1963,Baby Boomer,Poland,Medium,Healthcare,Unemployed,2394.0,22,29,Rent,7,4,5
1967,Gen X,Spain,High,Unemployed,Employed,1410.0,21,11,Own,5,7,6
1978,Gen X,Czechia,High,IT,Employed,3396.0,29,12,With parents,4,10,3
1957,Baby Boomer,Italy,High,Construction,Employed,2754.0,17,3,Own,1,7,8
1987,Millennial,Poland,Low,Finance,Employed,2114.0,23,25,With parents,6,6,5
1998,Gen Z,Czechia,High,Retail,Unemployed,2855.0,19,0,Own,4,5,8
1973,Gen X,Czechia,Medium,Healthcare,Employed,2076.0,26,26,With parents,6,6,4
1980,Gen X,Spain,High,Finance,Inactive,219.0,17,22,Rent,6,3,4
1966,Gen X,France,Medium,Unemployed,Employed,660.0,19,10,Rent,4,7,5
1996,Millennial,Poland,Medium,Unemployed,Employed,2180.0,23,20,Own,8,6,8
1996,Millennial,Netherlands,Medium,Education,Unemployed,1914.0,29,21,Rent,4,4,4
1991,Millennial,France,Medium,Construction,Employed,2119.0,16,27,Own,5,2,6
1980,Gen X,Czechia,High,Retail,Employed,1894.0,26,5,With parents,5,1,8
1953,Baby Boomer,Czechia,High,Retail,Employed,1191.0,24,24,With parents,2,9,3
1983,Millennial,Sweden,High,Healthcare,Employed,956.0,29,3,Rent,8,8,6
1995,Millennial,Poland,Medium,Healthcare,Employed,1439.0,23,33,Own,8,4,7
1963,Baby Boomer,Germany,Medium,Manufacturing,Inactive,2879.0,29,25,With parents,10,10,8
1982,Millennial,Spain,Low,Unemployed,Unemployed,1465.0,23,26,Own,8,1,5
1950,Baby Boomer,Spain,High,Manufacturing,Inactive,3138.0,25,20,Rent,1,4,4
1996,Millennial,Germany,Medium,Retail,Inactive,1267.0,24,20,Own,7,5,10
1991,Millennial,Italy,High,IT,Employed,3267.0,29,28,Rent,3,1,10
1959,Baby Boomer,Czechia,Medium,Education,Employed,1736.0,22,33,Own,1,9,10
2001,Gen Z,Sweden,Medium,Healthcare,Employed,1923.0,26,26,Rent,5,7,4
1964,Baby Boomer,Netherlands,High,Manufacturing,Inactive,1931.0,24,25,Own,4,7,3
1953,Baby Boomer,Spain,Low,Education,Employed,2724.0,16,4,Own,7,1,2
1976,Gen X,France,Medium,Construction,Employed,2427.0,16,19,Own,1,9,10
1948,Baby Boomer,Czechia,Low,Finance,Employed,2325.0,27,7,Rent,1,10,6
1994,Millennial,Netherlands,High,Finance,Employed,2127.0,19,17,Own,8,8,1
1962,Baby Boomer,Spain,Low,Unemployed,Employed,1688.0,17,4,Rent,4,6,6
1949,Baby Boomer,Sweden,Low,Retail,Employed,3187.0,23,3,With parents,9,4,5
1964,Baby Boomer,Italy,Medium,Healthcare,Inactive,2277.0,16,4,Own,10,6,2
1967,Gen X,Sweden,Medium,Unemployed,Employed,2717.0,19,15,Own,10,4,10
1955,Baby Boomer,France,Medium,Finance,Inactive,2380.0,26,8,Rent,5,2,5
1981,Millennial,Sweden,Low,Construction,Employed,1821.0,26,24,Own,6,9,7
1966,Gen X,Netherlands,High,Healthcare,Inactive,4356.0,29,7,Own,2,10,1
2002,Gen Z,Czechia,High,Manufacturing,Employed,3307.0,24,0,With parents,3,2,5
1948,Baby Boomer,France,Medium,Finance,Unemployed,1714.0,17,30,Own,7,7,8
1973,Gen X,Czechia,High,IT,Employed,4047.0,21,32,Own,7,3,8
1988,Millennial,Germany,Medium,Finance,Employed,3035.0,19,4,With parents,6,4,8
1978,Gen X,Poland,Low,Healthcare,Inactive,1216.0,29,17,Rent,4,3,1
1957,Baby Boomer,Germany,Medium,IT,Employed,2994.0,27,35,With parents,10,3,8
1986,Millennial,Netherlands,Medium,Education,Employed,2575.0,19,19,With parents,4,6,8
1953,Baby Boomer,Poland,Medium,Finance,Employed,2349.0,21,23,Own,8,6,5
1986,Millennial,Germany,Medium,Healthcare,Employed,3113.0,25,18,Own,9,2,6
1975,Gen X,Poland,High,Finance,Employed,2507.0,28,27,Rent,8,1,2
1951,Baby Boomer,Spain,Medium,Finance,Employed,391.0,19,29,Rent,8,6,2
1948,Baby Boomer,Sweden,Medium,Healthcare,Employed,982.0,24,14,Rent,5,1,1
1963,Baby Boomer,France,Low,IT,Employed,1430.0,27,8,With parents,2,6,10
1986,Millennial,Poland,Medium,Manufacturing,Inactive,3996.0,27,30,With parents,10,10,3
1974,Gen X,Spain,Medium,Construction,Employed,2787.0,23,0,With parents,2,6,2
1975,Gen X,Sweden,Medium,Finance,Employed,2687.0,23,12,Rent,2,1,8
1979,Gen X,Sweden,High,Retail,Employed,2297.0,20,35,Rent,6,5,5
2001,Gen Z,Italy,High,Education,Employed,1371.0,21,1,Own,10,4,7
1965,Gen X,Czechia,Medium,Healthcare,Employed,892.0,16,34,With parents,5,6,2
1975,Gen X,Germany,Medium,Finance,Employed,3096.0,16,10,Own,4,8,8
1963,Baby Boomer,Italy,High,Construction,Inactive,3697.0,24,17,Rent,4,1,1
1975,Gen X,Czechia,Medium,Manufacturing,Unemployed,2810.0,27,19,Own,8,2,4
1997,Gen Z,Czechia,Low,Healthcare,Employed,1758.0,19,1,With parents,10,2,7
1976,Gen X,Netherlands,Medium,Unemployed,Employed,1832.0,18,23,Rent,2,9,1
1946,Baby Boomer,Spain,Low,Finance,Employed,2824.0,20,15,With parents,5,6,3
2003,Gen Z,Italy,High,Education,Inactive,2095.0,29,22,Rent,7,10,3
1996,Millennial,Italy,Medium,Retail,Inactive,2058.0,24,28,With parents,7,9,5
1954,Baby Boomer,Czechia,Medium,Healthcare,Employed,1715.0,24,29,Own,8,4,3
1946,Baby Boomer,Sweden,Low,Finance,Employed,1603.0,18,3,Rent,3,9,4
1946,Baby Boomer,Spain,Medium,IT,Employed,2092.0,27,28,With parents,2,9,6
2004,Gen Z,Sweden,High,Manufacturing,Employed,775.0,22,26,Rent,8,1,4
1968,Gen X,France,Low,Retail,Employed,2757.0,18,32,Rent,9,9,1
1961,Baby Boomer,Poland,Medium,Healthcare,Employed,520.0,18,17,With parents,1,5,7
1976,Gen X,Netherlands,High,Finance,Employed,3159.0,19,5,Own,9,10,8
1960,Baby Boomer,Netherlands,Medium,Retail,Employed,1725.0,17,31,Rent,8,10,7
1960,Baby Boomer,Germany,Medium,IT,Employed,2093.0,21,30,With parents,7,7,5
1990,Millennial,Sweden,Medium,Healthcare,Unemployed,2702.0,20,11,Rent,8,5,7
1983,Millennial,Poland,Medium,Unemployed,Employed,1941.0,25,22,Own,3,2,7
1997,Gen Z,Czechia,Low,Retail,Employed,1535.0,25,28,Own,2,5,1
1975,Gen X,Germany,Low,Healthcare,Unemployed,2458.0,28,2,With parents,4,1,8
1987,Millennial,Netherlands,Medium,Unemployed,Employed,4178.0,17,32,Own,7,1,9
1968,Gen X,Poland,High,Healthcare,Employed,2909.0,27,27,Rent,2,2,1
1945,Baby Boomer,Italy,Low,Retail,Employed,1518.0,25,17,Own,7,4,10
1955,Baby Boomer,France,Low,Healthcare,Employed,1883.0,17,21,Own,7,10,1
1999,Gen Z,Czechia,Medium,IT,Employed,1770.0,29,19,Own,10,9,3
1965,Gen X,Italy,High,Retail,Unemployed,1272.0,17,15,Rent,9,6,8
1948,Baby Boomer,France,Medium,Finance,Employed,2740.0,19,6,Own,3,9,9
1951,Baby Boomer,Czechia,High,Construction,Employed,1907.0,18,3,Rent,9,5,2
1970,Gen X,Sweden,Low,Retail,Unemployed,2486.0,24,33,With parents,7,9,1
1991,Millennial,Spain,High,IT,Employed,0.0,28,35,Rent,8,1,10
1994,Millennial,Germany,Medium,IT,Employed,2821.0,20,17,Rent,3,1,4
1956,Baby Boomer,Germany,Medium,IT,Employed,1667.0,27,32,With parents,5,6,2
1975,Gen X,Spain,Medium,Unemployed,Employed,1295.0,16,0,Own,7,2,9
1961,Baby Boomer,Poland,High,Finance,Employed,996.0,17,24,Own,8,7,9
1977,Gen X,Spain,Low,Finance,Inactive,1372.0,22,13,With parents,6,9,5
1955,Baby Boomer,Sweden,Low,Construction,Employed,1815.0,23,10,Own,6,7,5
1972,Gen X,Netherlands,Medium,Construction,Employed,3000.0,21,7,Own,5,9,9
1976,Gen X,Spain,High,Healthcare,Inactive,1801.0,28,15,With parents,4,4,7
1945,Baby Boomer,France,High,Healthcare,Employed,3084.0,22,30,Own,7,7,2
1991,Millennial,Netherlands,Medium,Education,Employed,2463.0,17,17,With parents,10,10,6
1972,Gen X,Spain,Medium,Construction,Unemployed,3837.0,29,6,Own,5,1,6
1997,Gen Z,Germany,Low,Construction,Unemployed,1749.0,27,3,Own,8,10,10
1986,Millennial,Italy,High,Healthcare,Employed,2572.0,21,31,Own,1,6,1
1951,Baby Boomer,France,High,IT,Inactive,3324.0,27,30,Own,8,9,2
1946,Baby Boomer,Sweden,Medium,Education,Employed,2767.0,21,9,With parents,5,6,2
1986,Millennial,France,Medium,Construction,Unemployed,2047.0,19,29,Rent,4,7,1
1968,Gen X,Czechia,High,IT,Inactive,1761.0,26,34,Rent,6,10,6
1948,Baby Boomer,Poland,High,Manufacturing,Employed,451.0,19,30,With parents,7,1,3
1988,Millennial,Italy,Medium,Unemployed,Employed,1984.0,17,30,With parents,3,4,9
1963,Baby Boomer,France,Medium,Construction,Employed,1370.0,18,32,Own,4,7,8
1970,Gen X,Czechia,Medium,Finance,Unemployed,1712.0,25,4,Own,7,6,7
1955,Baby Boomer,Spain,Medium,Retail,Unemployed,2247.0,21,9,Rent,7,9,5
1984,Millennial,France,Medium,Manufacturing,Employed,795.0,19,22,Rent,3,4,3
1994,Millennial,France,Medium,Finance,Unemployed,1306.0,18,6,With parents,9,3,7
1987,Millennial,France,Medium,Finance,Unemployed,2549.0,29,27,With parents,3,1,6
1955,Baby Boomer,Poland,Medium,Unemployed,Unemployed,1061.0,16,20,Own,8,8,2
1989,Millennial,France,Medium,IT,Unemployed,2159.0,27,30,Own,8,1,5
1947,Baby Boomer,France,Medium,Healthcare,Employed,938.0,26,26,Own,3,5,5
1956,Baby Boomer,Poland,High,Retail,Employed,2674.0,29,28,Rent,7,2,3
1947,Baby Boomer,Czechia,Medium,Healthcare,Unemployed,2791.0,26,9,Rent,3,6,2
1986,Millennial,Netherlands,Low,Healthcare,Inactive,3311.0,26,7,With parents,2,8,2
1971,Gen X,Italy,Medium,Construction,Employed,3321.0,28,8,Rent,7,4,5
1993,Millennial,Czechia,High,Retail,Employed,2447.0,18,10,Own,8,1,1
1998,Gen Z,Sweden,High,Retail,Unemployed,614.0,16,21,With parents,9,7,6
1946,Baby Boomer,Netherlands,Medium,Manufacturing,Unemployed,2202.0,19,25,Rent,1,5,9
1993,Millennial,Germany,High,IT,Employed,2612.0,27,1,Own,9,2,1
1960,Baby Boomer,Poland,Low,Healthcare,Employed,2309.0,19,18,With parents,2,6,3
1946,Baby Boomer,Poland,High,Unemployed,Unemployed,3696.0,26,15,Rent,3,6,10
2004,Gen Z,France,Low,IT,Unemployed,3368.0,27,3,With parents,8,5,5
1998,Gen Z,France,Low,IT,Unemployed,2224.0,16,6,With parents,2,6,3
1974,Gen X,Sweden,Medium,Unemployed,Unemployed,2871.0,22,13,Rent,7,9,2
1964,Baby Boomer,Germany,Medium,Construction,Employed,880.0,20,11,Own,8,9,3
1982,Millennial,France,Medium,Education,Inactive,2370.0,16,20,Rent,10,7,7
1972,Gen X,Spain,High,Manufacturing,Unemployed,1063.0,20,33,Own,5,3,7
1969,Gen X,France,High,Healthcare,Employed,2039.0,27,20,With parents,3,9,5
1976,Gen X,France,Medium,Finance,Inactive,1589.0,22,35,Own,9,10,2
1954,Baby Boomer,Spain,Medium,Retail,Inactive,1614.0,21,6,Own,8,7,1
2004,Gen Z,Germany,Low,Retail,Unemployed,1469.0,25,20,With parents,3,4,3
1986,Millennial,Spain,Low,IT,Employed,1840.0,20,9,Rent,8,1,7
1984,Millennial,Poland,Medium,Unemployed,Employed,1685.0,23,20,With parents,3,10,1
1977,Gen X,Spain,Low,Manufacturing,Employed,2770.0,24,15,Own,6,6,7
1957,Baby Boomer,Italy,High,Manufacturing,Employed,1962.0,16,24,Rent,1,6,6
2000,Gen Z,Poland,Medium,Healthcare,Employed,2159.0,21,12,Rent,4,6,4
1985,Millennial,France,Low,Healthcare,Employed,2462.0,17,26,With parents,8,4,10
1998,Gen Z,Sweden,Medium,IT,Employed,2459.0,28,7,With parents,6,9,6
1986,Millennial,Poland,Low,IT,Inactive,1238.0,23,29,Own,5,5,4
1991,Millennial,Germany,Medium,IT,Employed,1962.0,20,30,Rent,6,1,5
1981,Millennial,Germany,High,Education,Employed,2414.0,16,6,Rent,7,4,3
1998,Gen Z,Spain,Medium,Manufacturing,Employed,1407.0,20,29,With parents,1,10,10
1960,Baby Boomer,Poland,Low,IT,Employed,1306.0,25,17,With parents,3,3,9
1989,Millennial,France,High,Construction,Inactive,1144.0,28,22,Own,1,8,1
1966,Gen X,Germany,Low,Manufacturing,Employed,2382.0,20,29,Own,9,6,7
2001,Gen Z,Netherlands,High,Finance,Employed,1936.0,17,29,Rent,4,10,5
1964,Baby Boomer,France,Medium,Retail,Employed,2064.0,19,7,With parents,2,10,9
1994,Millennial,Netherlands,Medium,Retail,Employed,598.0,28,11,Own,5,7,2
1987,Millennial,Italy,High,Manufacturing,Employed,2264.0,21,9,Rent,2,10,6
1971,Gen X,Netherlands,High,Finance,Employed,2309.0,16,6,Own,7,2,3
1985,Millennial,Czechia,Low,Retail,Employed,2437.0,26,16,Rent,4,1,4
1960,Baby Boomer,Germany,Medium,Retail,Employed,3498.0,24,31,Own,5,2,4
1978,Gen X,Spain,High,Retail,Unemployed,1516.0,22,4,With parents,9,6,2
1976,Gen X,Italy,Low,Healthcare,Employed,2639.0,21,20,Rent,2,5,1
1970,Gen X,Poland,Medium,Finance,Employed,2501.0,16,30,With parents,5,8,3
1969,Gen X,France,High,Unemployed,Employed,2610.0,23,14,With parents,4,4,10
1946,Baby Boomer,Germany,Medium,Healthcare,Employed,1921.0,23,12,Rent,3,3,8
1956,Baby Boomer,Italy,High,Manufacturing,Employed,2887.0,19,6,Own,1,4,3
1984,Millennial,Italy,High,Manufacturing,Employed,1544.0,19,23,Own,6,9,1
1953,Baby Boomer,Czechia,Medium,Education,Employed,1777.0,16,3,Rent,7,8,4
1956,Baby Boomer,Germany,High,Unemployed,Employed,2033.0,28,18,Rent,1,8,9
1970,Gen X,Poland,Medium,Healthcare,Employed,1994.0,24,34,With parents,6,6,6
1953,Baby Boomer,Poland,Medium,Manufacturing,Employed,2536.0,29,28,Rent,1,5,9
1954,Baby Boomer,Spain,Medium,Unemployed,Inactive,2434.0,23,35,Rent,6,8,1
1976,Gen X,Sweden,High,Healthcare,Employed,2442.0,28,33,Rent,4,4,1
2001,Gen Z,Netherlands,High,Education,Employed,3390.0,25,7,With parents,6,10,6
1978,Gen X,Poland,Medium,Manufacturing,Inactive,2013.0,22,1,With parents,1,6,3
1992,Millennial,Czechia,Medium,Manufacturing,Employed,3151.0,17,3,With parents,1,9,8
1964,Baby Boomer,Spain,High,Manufacturing,Employed,1242.0,22,1,With parents,3,3,4
1983,Millennial,Netherlands,Medium,Manufacturing,Employed,2085.0,19,29,Rent,6,9,9
2004,Gen Z,Italy,Low,IT,Employed,2140.0,18,28,With parents,3,8,6
1946,Baby Boomer,Germany,Medium,Finance,Employed,1023.0,26,3,Rent,7,3,2
1945,Baby Boomer,Poland,High,Finance,Inactive,2241.0,29,20,With parents,4,7,1
1995,Millennial,Spain,High,Healthcare,Employed,2304.0,27,8,Rent,9,5,10
2004,Gen Z,Italy,High,Healthcare,Employed,2738.0,25,1,Own,7,7,2
1980,Gen X,Poland,Low,Unemployed,Employed,2634.0,19,19,With parents,4,4,1
1968,Gen X,France,High,Unemployed,Employed,1050.0,25,32,Rent,9,3,8
1998,Gen Z,Sweden,Medium,Healthcare,Employed,3276.0,28,5,Rent,5,7,2
1971,Gen X,Italy,High,Education,Employed,1784.0,21,28,With parents,4,6,9
1946,Baby Boomer,Czechia,Medium,Construction,Employed,1656.0,22,15,With parents,2,5,9
1975,Gen X,Czechia,Low,IT,Employed,2641.0,17,35,Rent,9,4,9
2001,Gen Z,Poland,Medium,Construction,Inactive,2966.0,22,4,Own,10,6,10
1958,Baby Boomer,Czechia,Medium,Healthcare,Employed,1775.0,25,8,With parents,8,1,6
1946,Baby Boomer,Italy,High,Unemployed,Employed,2160.0,17,31,Own,6,8,8
1973,Gen X,Germany,High,Unemployed,Employed,3020.0,26,33,Rent,1,6,10
1959,Baby Boomer,Germany,Medium,Healthcare,Employed,1362.0,17,28,Rent,8,5,3
1956,Baby Boomer,Sweden,High,Manufacturing,Employed,0.0,16,30,Own,4,8,9
1981,Millennial,Germany,Medium,Unemployed,Unemployed,2684.0,28,2,With parents,1,4,9
1972,Gen X,Netherlands,High,Construction,Employed,3024.0,26,24,Rent,3,2,10
1964,Baby Boomer,France,High,Unemployed,Employed,765.0,22,35,With parents,6,5,5
1983,Millennial,Germany,High,Manufacturing,Inactive,2182.0,16,12,With parents,2,7,9
1968,Gen X,Czechia,Medium,Unemployed,Employed,1752.0,18,18,Own,8,5,10
1965,Gen X,France,Medium,Construction,Unemployed,2316.0,26,15,Rent,5,7,8
1954,Baby Boomer,Germany,High,Construction,Employed,338.0,23,29,With parents,5,2,7
1990,Millennial,Netherlands,Medium,Manufacturing,Employed,1059.0,16,34,With parents,1,1,10
1958,Baby Boomer,Czechia,High,Healthcare,Inactive,2604.0,27,1,With parents,9,3,4
1981,Millennial,Italy,High,Manufacturing,Unemployed,2080.0,29,0,Rent,2,1,5
1962,Baby Boomer,Poland,Medium,Healthcare,Employed,3554.0,29,2,Own,9,3,1
1968,Gen X,Poland,High,Construction,Employed,2730.0,21,25,Own,10,3,5
1958,Baby Boomer,Germany,High,Education,Employed,1333.0,27,27,Rent,10,8,2
1978,Gen X,Poland,Medium,Education,Employed,2847.0,17,26,Own,1,5,1
2002,Gen Z,Germany,Medium,Retail,Inactive,3738.0,24,13,Own,10,3,2
1956,Baby Boomer,Germany,High,Unemployed,Employed,2135.0,17,23,Own,8,5,8
1966,Gen X,Czechia,Medium,IT,Employed,2563.0,21,34,Own,3,8,6
2000,Gen Z,Sweden,Low,Manufacturing,Unemployed,2943.0,19,33,Own,3,10,6
1950,Baby Boomer,Spain,High,Finance,Unemployed,2050.0,24,23,With parents,7,10,9
1980,Gen X,Spain,Medium,Manufacturing,Employed,296.0,16,5,Rent,7,1,2
1989,Millennial,Sweden,High,IT,Unemployed,2700.0,16,30,With parents,7,7,1
1980,Gen X,Spain,Low,Unemployed,Employed,2920.0,25,28,With parents,7,5,5
1966,Gen X,France,Low,Unemployed,Unemployed,3517.0,18,35,Rent,3,4,4
1958,Baby Boomer,Spain,High,Construction,Employed,1210.0,26,28,With parents,8,3,4
1960,Baby Boomer,Germany,Low,IT,Inactive,1251.0,21,12,Own,1,7,8
1980,Gen X,Netherlands,High,Construction,Employed,1580.0,18,7,With parents,3,10,2
2000,Gen Z,Netherlands,High,Retail,Employed,2049.0,22,14,Rent,8,2,1
1969,Gen X,Italy,High,IT,Employed,2685.0,24,32,With parents,2,8,2
1976,Gen X,Czechia,Low,Healthcare,Unemployed,1191.0,27,24,Own,7,4,9
1977,Gen X,Spain,Medium,Manufacturing,Unemployed,3054.0,25,15,Rent,4,10,7
1989,Millennial,Netherlands,High,IT,Employed,3009.0,17,20,With parents,6,2,4
